23/05,15:19,39,39,74,f23051519.csv
23/05,15:21,40,40,108,f23051521.csv
23/05,15:22,42,42,66,f23051522.csv
23/05,15:25,41,81,124,f23051525.csv
23/05,15:28,43,43,107,f23051528.csv
23/05,15:30,39,39,71,f23051530.csv
23/05,15:40,44,46,82,f23051540.csv
23/05,15:42,42,42,110,f23051542.csv
23/05,15:44,41,41,93,f23051544.csv
23/05,15:46,44,44,97,f23051546.csv
23/05,15:48,42,42,66,f23051548.csv
23/05,15:49,40,40,65,f23051549.csv
23/05,15:51,43,43,69,f23051551.csv
23/05,15:53,41,41,74,f23051553.csv
23/05,15:56,37,37,71,f23051556.csv
23/05,16:11,38,38,56,f23051611.csv
23/05,16:20,40,60,332,f23051620.csv
23/05,16:25,41,41,77,f23051625.csv
23/05,16:27,42,42,81,f23051627.csv
23/05,16:28,39,39,85,f23051628.csv
23/05,16:29,36,36,54,f23051629.csv
23/05,16:32,40,40,165,f23051632.csv
23/05,16:34,42,42,77,f23051634.csv
23/05,16:35,41,41,90,f23051635.csv
23/05,16:37,32,32,79,f23051637.csv
23/05,16:38,42,42,76,f23051638.csv
23/05,16:42,41,57,180,f23051642.csv
23/05,16:46,38,38,77,f23051646.csv
25/05,18:00,37,37,87,f25051800.csv
25/05,18:02,41,41,59,f25051802.csv
25/05,18:04,43,43,76,f25051804.csv
25/05,18:05,44,44,72,f25051805.csv
25/05,18:07,47,47,68,f25051807.csv
25/05,18:08,47,47,72,f25051808.csv
25/05,18:10,48,48,58,f25051810.csv
25/05,18:12,48,48,67,f25051812.csv
25/05,18:23,42,42,64,f25051823.csv
25/05,18:25,41,41,55,f25051825.csv
25/05,18:27,44,44,67,f25051827.csv
25/05,18:28,47,47,68,f25051828.csv
25/05,18:30,47,47,76,f25051830.csv
25/05,18:31,47,47,69,f25051831.csv
25/05,18:36,45,45,100,f25051836.csv
25/05,18:37,48,48,103,f25051837.csv
25/05,18:39,46,46,63,f25051839.csv
25/05,18:42,47,47,107,f25051842.csv
25/05,18:52,44,44,76,f25051852.csv
25/05,18:54,45,45,86,f25051854.csv
25/05,18:56,42,42,48,f25051856.csv
25/05,18:57,44,44,52,f25051857.csv
25/05,18:59,43,43,96,f25051859.csv
25/05,19:02,45,45,57,f25051902.csv
25/05,19:26,38,38,72,f25051926.csv
25/05,19:28,42,42,83,f25051928.csv
25/05,19:29,44,44,77,f25051929.csv
25/05,19:31,43,43,74,f25051931.csv
25/05,19:32,41,41,67,f25051932.csv
25/05,19:33,45,45,78,f25051933.csv
25/05,19:35,41,41,97,f25051935.csv
25/05,19:36,43,43,69,f25051936.csv
25/05,19:37,43,43,47,f25051937.csv
25/05,19:38,42,42,54,f25051938.csv
25/05,19:40,43,43,71,f25051940.csv
25/05,19:41,42,42,75,f25051941.csv
25/05,19:42,43,43,78,f25051942.csv
25/05,19:43,43,43,42,f25051943.csv
25/05,19:45,40,40,40,f25051945.csv
25/05,19:46,45,45,55,f25051946.csv
25/05,19:48,41,41,62,f25051948.csv
25/05,19:49,42,42,36,f25051949.csv
28/05,12:26,40,40,81,f28051226.csv
28/05,12:27,48,48,56,f28051227.csv
28/05,12:29,48,48,68,f28051229.csv
28/05,12:30,45,45,75,f28051230.csv
31/05,18:10,41,41,86,f31051810.csv
31/05,18:12,45,45,80,f31051812.csv
31/05,18:13,43,43,67,f31051813.csv
31/05,18:15,47,47,93,f31051815.csv
31/05,18:17,45,45,105,f31051817.csv
31/05,18:19,46,46,76,f31051819.csv
31/05,18:21,48,48,70,f31051821.csv
31/05,18:23,45,45,87,f31051823.csv
31/05,18:25,47,47,96,f31051825.csv
31/05,18:27,48,48,66,f31051827.csv
31/05,18:29,49,49,108,f31051829.csv
31/05,18:31,46,46,91,f31051831.csv
31/05,18:32,45,45,81,f31051832.csv
31/05,18:33,41,41,52,f31051833.csv
31/05,18:35,44,44,73,f31051835.csv
31/05,18:46,41,41,81,f31051846.csv
31/05,18:48,41,41,84,f31051848.csv
31/05,18:50,44,44,72,f31051850.csv
31/05,18:51,42,42,61,f31051851.csv
31/05,18:53,42,42,60,f31051853.csv
31/05,18:57,42,42,70,f31051857.csv
31/05,18:59,41,41,62,f31051859.csv
31/05,19:00,43,43,41,f31051900.csv
31/05,19:02,42,42,73,f31051902.csv
31/05,19:04,48,48,93,f31051904.csv
31/05,19:05,41,41,70,f31051905.csv
31/05,19:07,47,47,66,f31051907.csv
31/05,19:08,43,43,54,f31051908.csv
31/05,19:09,43,43,76,f31051909.csv
31/05,19:11,47,47,110,f31051911.csv
31/05,19:13,45,45,103,f31051913.csv
31/05,19:14,41,41,54,f31051914.csv
31/05,19:17,48,48,81,f31051917.csv
31/05,19:18,46,46,69,f31051918.csv
31/05,19:21,37,37,122,f31051921.csv
31/05,19:21,32,32,40,f31051921.csv
31/05,19:23,41,41,126,f31051923.csv
31/05,19:25,39,39,72,f31051925.csv
31/05,19:25,36,36,39,f31051925.csv
31/05,19:27,36,36,75,f31051927.csv
31/05,19:28,39,39,81,f31051928.csv
31/05,19:31,47,47,90,f31051931.csv
31/05,19:33,45,45,77,f31051933.csv
31/05,19:34,45,45,40,f31051934.csv
31/05,19:34,43,43,27,f31051934.csv
31/05,19:37,40,40,81,f31051937.csv
